abv,beer_desc,beer_img,beer_name,beer_rank,beer_style,brewer,est_cal,ibu,mean,overall_score,review_count,state,style_score,wgt_avg
8.5%,"Wade into darker waters with Lazy Magnolia’s Black Creek Imperial Stout.  Black as the bayou on a moonless winter night, this 8.5% Southern-Style Imperial Stout begins with aromas of dark chocolate and coffee, followed by a savory blend of roasted barley and caramel flavors, with a velvety-sweet finish.  Our full-bodies Mississippi dark ale is the perfect winter companion to warm and relax your taste buds with every slow and delicious sip.  Drink Lazy.",,Lazy Magnolia Black Creek Southern Style Imperial Stout,11,Imperial Stout,Lazy Magnolia Brewing Company,255,,/,81,63,MISSISSIPPI,24,
,"Simcoe, Mosaic, Amarillo. 2015 IPA is SoPro’s yearly IPA installment. The IPA this year features an up-front hop bite with tropical and pine flavors creeping throughout. Finishing dry and bright with a lingering sticky flavor, this IPA is not a candidate for first timers but reserved for the hop head who needs a revival from the mundane.",,SPB Cicada Series 2015 IPA,10,India Pale Ale (IPA),Southern Prohibition Brewery,70,,3.62/5.0,85,11,MISSISSIPPI,69,3.44
,"Looks can be deceiving. Pitch black color tells the brain one thing, while the nose and tongue yell something different. An ungodly amount of our favorite American hops fall into an abyss of dark maltiness with an unusually light roast character for its color. Sinister Minister Black IPA makes its debut in the Cicada Series and we compel you to drink now.",,SPB Sinister Minister,9,Black IPA,Southern Prohibition Brewery,65,,3.65/5.0,86,12,MISSISSIPPI,53,3.48
10%,An anniversary ale inspired by Southern Pecan.,,Lazy Magnolia 10,8,American Strong Ale,Lazy Magnolia Brewing Company,300,,3.6/5.0,87,21,MISSISSIPPI,58,3.49
,"Baltic Porters were originally brewed for the long trip from England to the Baltic region. Răgana (Lithuanian for witch) is deep, dark and full of complex flavors. Full bodied with chocolate, coffee and a slight smokiness, English hops round out this wicked ale, adding a clean finish thanks to a colder fermentation.",,SPB Cicada Series Răgana Baltic Porter,7,Baltic Porter,Southern Prohibition Brewery,30,,3.74/5.0,91,12,MISSISSIPPI,71,3.55
8%,Imperial Red Ale aged in Willett bourbon whiskey barrels.,,SPB Mississippi Fire Ant: Bourbon Barrel Aged ,6,American Strong Ale,Southern Prohibition Brewery,240,,3.76/5.0,91,11,MISSISSIPPI,71,3.55
6.5%,"When the lights dim, the curtains pull back, and the Beledi starts, it is time for a Mystery Romp! This mocha colored ale, infused with chocolate and coffee, can best be described as a tasteful dance between a 
robust porter and a rich stout.",,Crooked Letter Mystery Romp,5,Porter,Crooked Letter Brewing Company,195,49,3.71/5.0,91,14,MISSISSIPPI,92,3.54
7%,Bourbon barrel treatment of Southerm Pecan,/upload/post.asp?m=1&Id=160629,Lazy Magnolia Southern Gentleman,4,Brown Ale,Lazy Magnolia Brewing Company,210,,3.66/5.0,92,22,MISSISSIPPI,98,3.56
,"Devilâ€™s Harvest is a golden, crushable IPA with a ghostly hue. A moderate dose of oats help cloud up the beer while grabbing some hop oils from the large dry hop of Citra and Mosaic. By only using whirlpool and dry hopping techniques, we have cut down on bitterness while raising the aroma in this small 4.9% ABV.",,SPB Devil's Harvest Breakfast IPA,3,Session IPA,Southern Prohibition Brewery,,147,3.71/5.0,92,20,MISSISSIPPI,96,3.59
,"Timber Beast is the first in Lazy Magnolia’s Back Porch Series. A spicy, full-bodied Imperial Rye Pale Ale balanced with a generous dose of Zythos hops. Retreat to the Back Porch and be a little Lazy. Big Cheers Y’all.",,Lazy Magnolia Timber Beast,2,Imperial IPA,Lazy Magnolia Brewing Company,,270,/,94,226,MISSISSIPPI,74,
,"A very limited release this season, Crowd Control is an American, hop-forward IPA. Abundant kettle hopping and extensive dry hopping keep the malt in check while showcasing the flavors and nose of an IPA that can barely be contained. Drink fresh and don’t resist.",,SPB Crowd Control,1,Imperial IPA,Southern Prohibition Brewery,60,,3.97/5.0,99,37,MISSISSIPPI,97,3.87
,"One of the few small grains still grown in southwestern Minnesota, malted rye is the base for this one of a kind ale brewed and aged in tiny Lucan, Minnesota.  Following a long, slow fermentation, the beer is stored away in used rye whiskey barrels brought north from our friends at Templeton, located in the equally tiny town of Templeton, Iowa.",,Brau Brothers Rye Wyne Ale 2011,24,Barley Wine,Brau Brothers Brewing Company,55,,/,99,115,MINNESOTA,96,
6.4%,This beer is our version of a very unique Belgian beer style brewed only in the Lambic region outside Brussels.,,Fitgers Framboise,23,Sour/Wild Ale,Fitgers Brewhouse,192,,/,99,41,MINNESOTA,95,
,"Full of deep,rich chocolate flavor with a splendid sweet wine-like backbone...don't worrywe didn't forget the hops.",/upload/post.asp?m=1&Id=55356,Town Hall Ol Jack Frost,22,Imperial Stout,Minneapolis Town Hall Brewery,,267,3.94/5.0,99,38,MINNESOTA,87,3.85
10%,Derailed Imperial Double Dangerous Chocolate Whiskey Queen Milk Stout,,Indeed D.I.D.D.C.W.Q.M.S,21,Imperial Stout,Indeed Brewing Company,300,90,4.14/5.0,99,12,MINNESOTA,87,3.85
7.2%,"Eighth Release: Sixteen months in the making, Starkeller Peach was first brewed with an extensive decoction mash schedule, fermented with an authentic mixed culture and aged for nearly a year before 5,500 pounds of peaches were added and it was allowed to ferment for an additional four months.  The resulting beer has pronounced tropical fruit aromas, a tart peach flavor and an intensely acidic, fruity character.",,Schell Noble Star - Starkeller Peach,20,Berliner Weisse,August Schell Brewing Company,216,,/,99,50,MINNESOTA,99,
,Twisted Reality Barleywine this year was very nice. Enjoy the result of extended aging in Buffalo Trace bourbon barrels. Mmmm toffee.,/upload/post.asp?m=1&Id=199812,Town Hall Twisted Trace,19,Barley Wine,Minneapolis Town Hall Brewery,,327,3.96/5.0,99,39,MINNESOTA,97,3.87
5.6%,The addition of fresh coconut to our sweet milk stout makes a great combo.,/upload/post.asp?m=1&Id=98849,Town Hall Coconut Milk Stout,18,Sweet Stout,Minneapolis Town Hall Brewery,168,,/,99,79,MINNESOTA,100,
,This double strength version of our black ale has double the cold-press and double the vanilla. Aged in bourbon barrels for five months.,,Bent Paddle Double Shot Double Black,17,Imperial Stout,Bent Paddle Brewing Co.,35,,3.99/5.0,99,35,MINNESOTA,90,3.89
10%,"Our Edmund Fitzgerald Imperial Stout was aged in Woodford Bourbon Barrels for 7 months. Expect this beer to be black as night with a dark brown head. Complex aromas of oak, vanilla, bourbon, and chocolate are evident. It is a very full-bodied beer. The flavors are as complex as the aromas; chocolate, bourbon, licorice. This beer won gold in 2010, silver in 2008 and bronze in 2008 at the Barrel Aged Beer Festival in Chicago.",,Fitgers Edmund Imperial Stout (Bourbon Barrel),16,Imperial Stout,Fitgers Brewhouse,300,,/,99,118,MINNESOTA,91,
,"Barrel aged Silhouette is as deep and dark as the thick Northern Woods. It’s brewed in the style of an Imperial Stout. Aromas of coffee, molasses, chocolate and prune meld with an intense dark roasted character. This beer is complex, rich and full bodied. Its wild spirit will warm the senses, illuminate the soul, and grow into a traditional favorite...no matter what season.",,Lift Bridge Silhouette Bourbon Barrel Aged Russian Imperial Stout,15,Imperial Stout,Lift Bridge Brewing Company,75,,/,99,46,MINNESOTA,92,
8.5%,"Traditional Scottish ales are brewed with large amounts of base malt, generous use of roasted malt and very few hops. This deep ruby/brown ale is the king of Scottish ales. Offering huge malt flavor and little hop profile, deep caramel, toasted chocolate & and wine-like fruitiness are evident. While extremely sweet at first, the extended aging process results in a mellowing effect, thus producing a very strong complex ale that is smooth and drinkable.",,Town Hall Wee Heavy,14,Scotch Ale,Minneapolis Town Hall Brewery,255,,/,99,88,MINNESOTA,100,
,"American style India Pale Ale (IPA) brewed using Amarillo, Cascade, Centennial and Mt. Hood hops.  A beer with crisp hop flavor and bitterness well balanced with American malt sweetness.",,Town Hall Masala Mama IPA,13,India Pale Ale (IPA),Minneapolis Town Hall Brewery,,180,/,99,482,MINNESOTA,100,
13.6%,’Before the Dawn’ Black Barleywine aged in Templeton Rye Whiskey Barrels,,Steel Toe Before the Dawn,12,Barley Wine,Steel Toe Brewing Company,408,,/,99,66,MINNESOTA,99,
5.3%,,,Dangerous Man Peanut Butter Porter,11,Porter,Dangerous Man Brewing Company,159,29,/,99,44,MINNESOTA,100,
6.6%,"Like Hops? You’ll like this fire-hued beer. This is the beer I have always dreamed of making. This is the beer that would come to mind while spending the last two years tearing down walls, hanging sheetrock, moving kegs, power washing the ceilings, arguing with various agencies, and cutting the water main.
Without Golden Promise malt, made by family-owned Simpsons Malt, Furious would just be pissed offed. From Scotland, this malt is still produced in the tradition of turning over the barley by hand, resulting in a malt that is unsurpassed in its quality. Golden Promise is also used extensively by premium whisky distilleries such as The Macallan. This malt provides the backbone for the intense hop character. Four American hop varieties are used at a rate of over three pounds per barrel. The result is a rich malt sweetness infused with bright hop flavor and aroma from beginning to end. Oh yeah, it’s about 6% alcohol and around 100 IBUs.",,Surly Furious,10,India Pale Ale (IPA),Surly Brewing Company,198,99,/,99,1341,MINNESOTA,100,
7.2%,"Our version of the West Coast Style IPA first brewed in collaboration with Amager Brewery in Denmark. Brewed with one malt, Golden Promise from the UK, with Citra and Mosaic hops. If you think Todd is a good brewer, you should hear him play his axe (guitar)! Named by Amager’s marketing director Henrik Papsø.",,Surly / Amager Todd - The Axe Man (Surly Version),9,India Pale Ale (IPA),Surly Brewing Company,216,,/,100,326,MINNESOTA,100,
9.4%,"Surly’s Fourth Anniversary beer. An iced double espresso milk stout. In the Surly brewhouse brewing our Anniversary beers means one thing, forget what you know and try something different.  Brewed with too many Espresso beans, too much Roasted Barley, and a healthy dose of Milk sugar, this Double Espresso Milk Stout has layers of chocolate, espresso and smoke flavors intertwined with a velvety lush body.",,Surly Four,8,Sweet Stout,Surly Brewing Company,282,,/,100,187,MINNESOTA,100,
13.6%,The original Wild Brunette is infused with three separate additions of candi sugar and champagne yeast to reach the monolithic alcohol content of 23%!,/upload/post.asp?m=1&Id=32028,Barley Johns Rosies Ale,7,Barley Wine,Barley Johns Brew Pub,408,,4.14/5.0,100,30,MINNESOTA,99,4.01
9.3%,2008 Great American Beer Festival Gold medal chocolate beer,/upload/post.asp?m=1&Id=108142,Town Hall Russian Roulette,6,Imperial Stout,Minneapolis Town Hall Brewery,279,,/,100,52,MINNESOTA,96,
9.5%,Russian Style Imperial Stout aged for ten months in oak barrels. Rich and delicious.,,Town Hall Czar Jack Imperial Stout,5,Imperial Stout,Minneapolis Town Hall Brewery,285,,/,100,265,MINNESOTA,97,
9%,"Sure we’re abrasive.  We were abrasive long before we were Surly.  If you visit the brewery you can still see remnants of the industrial manufacturing factory Omar’s parents ran for 35 years within those same 4 walls.  Bandsaw blades, grinding wheels, and sanding discs came long before ales and lagers.  But let’s be honest, this is a lot more fun.  Pale in color, this over-hopped, under-brewed Double IPA has almost twice the amount of hops & malt crammed in the can. Seasonal between March and April.",,Surly Abrasive Ale,4,Imperial IPA,Surly Brewing Company,270,120,/,100,697,MINNESOTA,100,
9.6%,"The 2014 bottled version is aged with High West Rye Whiskey Barrel Aged Darkness. Though most kegged 2014 Darkness does not have any whiskey barrel aged, a handful of barrel aged Darkness does exist.",,Surly Darkness 2014 - Bottled,3,Imperial Stout,Surly Brewing Company,288,,/,100,234,MINNESOTA,98,
,,,Barley Johns The Dark Knight (Returns),2,Imperial Porter,Barley Johns Brew Pub,,390,/,100,388,MINNESOTA,100,
,"This massive Russian Imperial Stout brings waves of flavors; chocolate, cherries, raisins, coffee, and toffee. We add a touch of hops to make this delicious brew even tastier.
85 IBUs. 

Labels:",,Surly Darkness,1,Imperial Stout,Surly Brewing Company,85,,/,100,1056,MINNESOTA,100,
11.5%,A strong dark lager brewed with a generous amount of wheat then aged in Heaven Hill (2005-2012; 2015) or Jim Beam (2014) Bourbon Barrels. Each batch is slightly different.,,The Livery Bourbon Barrel Aged Wheat Trippelbock,24,Weizen Bock,The Livery,345,,/,100,180,MICHIGAN,100,
13.2%,"Don’t let the cute exterior fool you, inside is pure madness.  Darkness vast as an eternity of mangled shoes.  A swipe of his jagged paw seperates dreams from reality.  You may never be let go, he will eat you up, he loves you so.",/upload/post.asp?m=1&Id=429772,Transient Kentuckley,23,Imperial Stout,Transient Artisan Ales,396,,4.26/5.0,100,27,MICHIGAN,98,4.09
,"A fine companion to end a meal or relax in front of the hearth with, this robust ale will cellar well for years. Brewed with ten varieties of malted barley this stout is extremely smooth, complex and rich in body. We recommend serving at cellar temperature. Sit back and enjoy its richness and complexity, you’re about to drink the ultimate winter warmer.",,Founders Imperial Stout,22,Imperial Stout,Founders Brewing Company,75,,/,100,2133,MICHIGAN,98,
11.5%,Imperial stout aged in bourbon barrels.,/upload/post.asp?m=1&Id=105659,Founders Bourbon Barrel Imperial Stout,21,Imperial Stout,Founders Brewing Company,345,,/,100,41,MICHIGAN,99,
16%,"This is Wildflower Mead, aged in a Bourbon barrel, then it is flavored with bananas, hazelnuts, Maple syrup and spices. Tasty!",,Kuhnhenn Bourbon Barrel French Toast Mead,20,Mead,Kuhnhenn Brewing,480,,/,100,144,MICHIGAN,99,
13.5%,December 2005 batch #4 of Fourth Dementia that spent 6 months in a bourbon barrel.,,Kuhnhenn Fourth Dementia (4D) Old Ale - Bourbon Barrel ,19,Old Ale,Kuhnhenn Brewing,405,,/,100,503,MICHIGAN,100,
,"Apple Reserve is our estate-grown cyser, made with over 40 hand-picked heirloom and modern Apple varieties. Each variety is selected and custom grafted to the Schramm apple trees in order to create a perfect balance of sweetness, aromatics, flavor, mouthfeel and acidity.",/upload/post.asp?m=1&Id=450466,Schramm's Apple Reserve,18,Mead,Schramm�s Mead,,420,4.36/5.0,100,18,MICHIGAN,99,4.11
,"Ken Schramm’s The Statement is the result of twenty years of growing Michigan tart cherries and nearly a dozen test batches. living up to its name, this melomel’s expression of genuine cherry favor truly makes a statement. the delicate balance of sweet honey and tart cherries makes The Statement a natrual complement to chocolate and sharp cheeses. Anticipated maturity - Five years",,Schramm's The Statement,17,Mead,Schramm�s Mead,,420,/,100,129,MICHIGAN,99,
,"Sweet, tart, beautiful and well-balanced, Amelia is the most recent addition to our Schramm’s Mead family. In the early 1880’s Santa Cruz fruit breeder James Harvey Logan interbred Aughinbaugh blackberries with Red Antwerp raspberries. The Loganberry was born. Over a century later, in 2016, so was Amelia.",,Schramm's Amelia,16,Mead,Schramm�s Mead,,420,/,100,42,MICHIGAN,99,
,,/upload/post.asp?m=1&Id=335757,Schramm's Cranberry,15,Mead,Schramm�s Mead,,420,4.43/5.0,100,19,MICHIGAN,99,4.18
14%,"This beer is a big and full bodied Imperial Stout aged in bourbon barrels with lots of roasted malts, but very balanced with heavy hops.  Brewed with a top secret root, this beer has an amazingly complex flavor that you must wait for.",,Dark Horse Bourbon Barrel Plead the 5th Imperial Stout,14,Imperial Stout,Dark Horse Brewing Company,420,,/,100,502,MICHIGAN,99,
13%,"This 12-month barrel-aged version of our award-winning Imperial Stout thirsts for travel but is perfectly content to sit in your cellar, maturing until you are ready. The tough part? Deciding if you want to enjoy it now or wait until later. You can’t go wrong either way.",,Bell's Bourbon Barrel-Aged Expedition Stout,13,Imperial Stout,Bell�s Brewery,390,,/,100,78,MICHIGAN,100,
10%,"Starting with six different hop varietals added to the brew kettle &  culminating with a massive dry-hop addition of Simcoe hops, Bell’s Hopslam Ale  possesses the most complex hopping schedule in the Bell’s repetoire. Selected specifically because of their aromatic qualities, these Pacific Northwest varieties contribute a pungent blend of grapefruit, stone fruit, and floral notes. A generous malt bill and a solid dollop of honey provide just enough body to keep the balance in check, resulting in a remarkably drinkable rendition of the Double India Pale Ale style.",,Bell's Hopslam,12,Imperial IPA,Bell�s Brewery,300,70,/,100,2606,MICHIGAN,100,
15.5%,Real raspberries abound in this chocolate caramel after dinner treat.  Aged for a smooth texture and drinkability.  This lager beer will handle additional age very well.,,Kuhnhenn Raspberry Eisbock,11,Fruit Beer,Kuhnhenn Brewing,465,,/,100,948,MICHIGAN,100,
,"The coffee lover’s consummate beer. Brewed with an abundance of flaked oats, bitter and imported chocolates and two types of coffee, this stout has an intense fresh-roasted java nose topped with a frothy, cinnamon-colored head that goes forever.",,Founders Breakfast Stout,10,Imperial Stout,Founders Brewing Company,60,,/,100,3323,MICHIGAN,99,
,A bit of backwoods pleasure without the banjo. This strong stout is brewed with a hint of coffee and vanilla then aged in oak bourbon barrels. Our process ensures that strong bourbon undertones come through in the finish in every batch we brew. We recommend decanting at room temperature and best enjoyed in a brandy snifter.,,Founders KBS (Kentucky Breakfast Stout),9,Imperial Stout,Founders Brewing Company,70,,/,100,2633,MICHIGAN,100,
10.8%,"One of the most sought-after stouts in Bell’s history, Black Note Stout blends the complex aromatics of Expedition Stout with the velvety smooth texture of Double Cream Stout, each aged in freshly retired oak bourbon barrels for months.

The resulting harmony of flavors captures the finest features of all three components: malty notes of dark chocolate, espresso and dried fruits, all buoyed by the warmth and fragrance of the bourbon barrel. Aimed squarely at the stout and bourbon aficionados, Black Note makes a grand statement about the art of the dark.",,Bell's Black Note Stout,8,Imperial Stout,Bell�s Brewery,324,,/,100,916,MICHIGAN,100,
10.5%,"One of the earliest examples of the Russian Imperial Stout in the United States, Expedition Stout offers immensely complex flavors crafted specifically with vintage aging in mind, as its profile will continue to mature and develop over the years. A huge malt body is matched to a heady blend of chocolate, dark fruits, and other aromas. Intensely bitter in its early months, the flavors will slowly meld and grow in depth as the beer ages.",,Bell's Expedition Stout,7,Imperial Stout,Bell�s Brewery,315,,/,100,3055,MICHIGAN,100,
,"Lutowka cherry, black currant, red raspberry, and boysenberry",/upload/post.asp?m=1&Id=450462,Schramm's A Smile of Fortune,6,Mead,Schramm�s Mead,,420,4.51/5.0,100,26,MICHIGAN,100,4.31
,Red Currant Mead,,Schramm's Red Agnes,5,Mead,Schramm�s Mead,,420,/,100,61,MICHIGAN,100,
14%,"Madeline is Schramm’s boysenberry tribute to our favorite release to date. She plays well with others, but is great on her own. She was beautiful when born, but will continue to become more endearing with age. Boysenberries, named for their creator, Rudolf Boysen, are a cross between European Raspberry, Common Blackberry, American Dewberry, and Loganberry (which is itself a cross of Red Raspberry and Blackberry).",,Schramm's Madeline,4,Mead,Schramm�s Mead,420,,/,100,67,MICHIGAN,100,
14%,"Named after one boisterous Scottish wench who successfully defended the Scottish Castle of Dunbar during a five-month siege by William Montague, the Earl of Salisbury.  Grown in the British Isles for over five hundred years and used by herbalists since the middle ages, the black currants in this dessert mead pay tribute to Black Agnes, our kind of girl.",,Schramm's Black Agnes,3,Mead,Schramm�s Mead,420,,/,100,134,MICHIGAN,99,
14%,"2013 Release - 36 Bottles. 2014 Release anticipated November 30th, 2014",,Schramm's The Statement Reserve,2,Mead,Schramm�s Mead,420,,/,100,54,MICHIGAN,100,
,"The Heart of Darkness is our capstone mead. It is made from homegrown, hand-harvested fruit from Schramm’s orchard and berry patch. The cherries are of the Schraammbeek variety, an intensely flavorful, European morello type, the raspberries are Heritage and Latham, and the black currants are Crandall and Consort. Production is extremely limited, as the amount of care and labor which go into each batch is substantial. Much of the fruit is netted to prevent birds from eating what should be your mead.",,Schramm's The Heart of Darkness,1,Mead,Schramm�s Mead,,420,/,100,79,MICHIGAN,100,
,"Brewed to test the Mettle of our loyal hopheads, this dank, full-bodied double IPA features intense dual additions of Amarillo and Galaxy. Bright aromatics of peach and nectarine fuse with flavors of tropical fruit and grapefruit on the palate. Accents of pine, resinous hop, and a clean bitterness reveal themselves on a smooth, dry finish.",,Trillium Heavy Mettle,24,Imperial IPA,Trillium Brewing Company,,279,/,100,91,MASSACHUSETTS,99,
,"This popular edition in our “Street” series of India Pale Ales spotlights the remarkably complex Mosaic hop. Melcher Street is hazy, pale orange in appearance and emits aromatic qualities of grapefruit, mild-earthy pine, and mango on the nose. Dank flavors of pine and green hop, along with juicy notes of tropical fruit, melon, and peach, are accentuated with crisp malt character, mild bitterness, and a soft, effervescent mouthfeel.",,Trillium Melcher Street IPA,23,India Pale Ale (IPA),Trillium Brewing Company,,219,/,100,120,MASSACHUSETTS,100,
,"What’s better than one shot of espresso? Two shots of espresso! This riff on Percolation, our coffee stout, is bolstered by nearly 30% more coffee than her younger sister. In addition to Stumptown Finca El Injerto coffee, we added a healthy portion of Sumatra Mandheling. The Finca’s flavors of cognac and chocolate meld beautifully with the earthy nuttiness of the Sumatra. A rich, sweet, and less roasty base beer contributes the ideal backdrop to this bold and vibrant treat for the coffee and beer lover alike!",,Tree House Double Shot,22,Sweet Stout,Tree House Brewing Company,,228,/,100,62,MASSACHUSETTS,100,
8.4%,"In the spirit of tenacity and camaraderie, Mettle was first created to highlight the milestone of our inaugural year as a brewery. With an intense dual dry-hop treatment of Amarillo and Citra, this medium-bodied Double IPA beckons with aromatics of peach and nectarine. A fusion of grape juice and candied citrus greet the palate while accents of white-wine, grassy hop, and a mellow bitterness reveal themselves on a smooth, dry finish. We continue to brew Mettle in recognition of our devoted following of hopheads that have supported us from the very beginning.",,Trillium Mettle,21,Imperial IPA,Trillium Brewing Company,252,,/,100,169,MASSACHUSETTS,99,
,"Our flagship American IPA highlights the distinctively aromatic Australian Galaxy hop.  The nose bursts with pine, citrus rind, melon and pineapple. Pronounced flavors of peach, clementine, and tropical fruits are accentuated with moderate bitterness and balanced by a light, biscuity malt character.",,Trillium Congress Street IPA,20,India Pale Ale (IPA),Trillium Brewing Company,,216,/,100,206,MASSACHUSETTS,100,
,This beer is an imperial version of Alter Ego. It is intensely kettle and dry hopped to produce a pungent and flavorful Double IPA that is super pleasant to drink.  It is simply and easily described as a juicy and dank citrus bomb.,,Tree House Doppelganger,19,Imperial IPA,Tree House Brewing Company,,246,/,100,118,MASSACHUSETTS,99,
,"An intensified version of Scaled and the latest addition to our line-up of aromatic, juicy IPA’s. The secondary dry hop of El Dorado and Citra results in an enhanced nose of citrus, pineapple, and wet earth. The flavor brings intense lime, refreshingly pithy bitterness and just a touch of toasted malt. Medium bodied with a dry finish.  

ABV: 7% 

MALT: American 2-row Barley, White Wheat, Flaked Wheat, Dextrine, C-15

HOPS: El Dorado, Citra, Columbus",,Trillium Scaled - Double Dry Hopped,18,India Pale Ale (IPA),Trillium Brewing Company,,210,/,100,94,MASSACHUSETTS,100,
,"With this distinctively dank Fort Point variant we feature Mosaic in the dry hop. Pouring a faintly cloudy, canary gold, Mosaic Fort Point emits a fragrant nose of herbal-woodsy hop, passion fruit, and zesty meyer lemon. Thirst quenching flavors of juicy mango, peppy citrus, and earthy hop entwine on the palate with the familiar biscuity mouthfeel, medium body, and bone dry finish of our signature pale ale.",,Trillium Fort Point Pale Ale - Mosaic Dry Hopped,17,American Pale Ale,Trillium Brewing Company,,198,/,100,118,MASSACHUSETTS,100,
,"This double dry hopped pale ale contains the same base ingredients, for both malt and hops, as Fort Point Pale Ale, but with an additional dry hop of Citra. The added hops richly enhance the juicy tropical fruit flavors of pineapple/mango, create elevated green, herbaceous aromatics, and increase body.",,Trillium Fort Point Pale Ale - Double Dry Hopped,16,American Pale Ale,Trillium Brewing Company,,198,/,100,177,MASSACHUSETTS,100,
,"This version of our signature American pale ale is dry hopped with the pungent Galaxy variety. Enticingly hazy and blonde in appearance with frothy carb, the nose erupts with strong citrus, passion fruit, and pineapple aromatics. Upfront and resinous hop-derived flavors of grapefruit pith, peach, and mango are balanced with a subtle, bready malt character and mild, subdued bitterness.",,Trillium Fort Point Pale Ale - Galaxy Dry Hopped,15,American Pale Ale,Trillium Brewing Company,,198,/,100,168,MASSACHUSETTS,100,
,"Our enhanced version of Summer St. IPA features a secondary dry hopping with Simcoe which leads to a fuller mouthfeel, amplified nose, and an intensified depth of grassy, raw hop character. Double Dry Hopped Summer Street is hazy, sunflower gold in appearance with strong aromatics of pine and lemon. Bold flavors of juicy tangerine, pine resin, and green pear dominate the palate with modest bitterness and a dry finish.",,Trillium Summer Street IPA - Double Dry Hopped,14,India Pale Ale (IPA),Trillium Brewing Company,,216,/,100,137,MASSACHUSETTS,100,
9%,"UPPER CASE has a delicate, dry pilsner malt character with a smooth, soft, doughy mouthfeel from the raw wheat, oily hop resin which all serves as a canvas for this twice dry hopped 9% double IPA. Overipe mango, pineapple and passion fruit aromas leap out as the beer is poured. The impression of tropical fruit also takes the lead in the flavor which is layered further by white wine, pine resin and grapefruit zest. Hopped primarily with Mosaic with supporting roles played by Galaxy, Citra and Columbus. We figured there will be considerable interest, so brewed 3 batches!",,Trillium Upper Case,13,Imperial IPA,Trillium Brewing Company,270,,/,100,98,MASSACHUSETTS,99,
,"Our signature American pale ale balances light, crisp, malt character with an abundance of hop-derived aromatics and flavors from the use of Citra and Columbus. The fragrant nose is fresh citrus, tropical fruit, and peach. Bold flavors of pineapple and mango mix with dank notes of zesty citrus and fresh pine needles. With the smooth mouthfeel, gentle bitterness, and dry finish, Fort Point is our standard daily-drinker.",,Trillium Fort Point Pale Ale,12,American Pale Ale,Trillium Brewing Company,,198,/,100,191,MASSACHUSETTS,100,
,"Our cross-continental IPA.  Made with Australian and American hops, this citrus heavy IPA opens up in the glass with notes of pineapple, tangerine, and orange rind.  It’s sharply bitter . . . The name comes from the initial batch in which, post boil, the wort looked green from so much hop particulate floating around.",,Tree House Green,11,India Pale Ale (IPA),Tree House Brewing Company,,225,/,100,211,MASSACHUSETTS,100,
,"To create Utopias, the brewers at Sam Adams used traditional brewing ingredients including all four types of Noble hops, which add a slightly earthy, herbal taste. The spiciness of the hops really comes alive. In fact, Utopias MMII has even been described by some as almost ""fiery"" -- a fitting description for the strongest beer in history. Beyond the special brand of hops, Utopias features ingredients that truly set it apart from other varieties of beer. Utopias MMII contains caramel and Vienna malts for its rich amber color and several different types of yeast including a variety found in champagne. $100 a bottle and it's limited to 3000 bottles, which look like copper brew kettles.",,Samuel Adams Utopias,10,Barley Wine,Boston Beer Company,,810,/,100,976,MASSACHUSETTS,100,
8%,"Ladies and gentlemen, prepare your palates...",,Trillium Headroom,9,Imperial IPA,Trillium Brewing Company,240,,/,100,43,MASSACHUSETTS,100,
,"What we did here is we took a whole bunch of Mosaic and Amarillo hops, a classic punch of citrus purveying goodness, and added them to the Julius dry hop. The base beer is exactly the same, but the dry hop is altered tremendously.  The result is a beer with all the deliciousness of the base with a pungent additional layer of citrusy complexity.  Soft velvety hop juice -  we call it Devil Julius. A real treat!",,Tree House Alter Ego,8,India Pale Ale (IPA),Tree House Brewing Company,,204,/,100,166,MASSACHUSETTS,100,
7.2%,"This amplified version of Congress Street IPA is a focused exhibition of the Galaxy Hop. Milky and yellow-orange in appearance, Double Dry Hopped Congress Street emits fragrant aromatics of mango, pine resin, grapefruit, pineapple, and peach. Explosive flavors of tropical fruit, grassy hop, nectarine, orange rind, and creamy malt inundate the palate with a thick, rich mouthfeel and soft, effervescent carbonation. The finish is full and oily, yet clean, with a light, modest bitterness.",,Trillium Congress Street IPA - Double Dry Hopped,7,India Pale Ale (IPA),Trillium Brewing Company,216,,/,100,113,MASSACHUSETTS,100,
,"We constructed this beer around hops we currently have plenty of access to, allowing us to re-brew it on a (relatively) consistent basis. We smell a ton of orange on the nose, with complimentary notes of peach and passionfruit. The flavor is similar with a blast of citrus fruit & orange quickly followed by spicy grapefruit, and earthy dankness. A lingering but pleasant hop oil finish awaits.",,Tree House Haze,6,Imperial IPA,Tree House Brewing Company,,246,/,100,175,MASSACHUSETTS,100,
,"A kicked up version of Haze, Very Hazy is a beer that makes us Very Happy! Very Hazy conveys all the beautiful flavors of Haze, but with even greater depth and potency. Pungent grapefruit notes greet your palate while an underlying current of soft tropical fruit dances in the background. Just the right amount of bitterness balances the sweet fruit flavors while a velvety soft mouthfeel make you easily (and dangerously!) forget this one clocks in at 8.6% ABV. A huge and beautiful beer that maintains softness and delicacy - a beer we are very excited about!",,Tree House Very Hazy,5,Imperial IPA,Tree House Brewing Company,,258,4.28/5.0,100,29,MASSACHUSETTS,100,4.13
